[Thu Aug 09 17:02:00.925036 2018] [php7:error] [pid 22692:tid 1920] [client 127.0.0.1:13662] PHP Fatal error:  Cannot declare class BaseMiddleware, because the name is already in use in D:\\Apache2\\www\\hello\\src\\middleware\\BaseMiddleware.php on line 2
[Thu Aug 09 17:03:09.319680 2018] [php7:notice] [pid 22692:tid 1844] [client 127.0.0.1:13774] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 11, referer: http://hello/todo/add
[Thu Aug 09 17:06:38.680742 2018] [php7:notice] [pid 22692:tid 1828] [client 127.0.0.1:14094] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 10, referer: http://hello/todo/add
[Thu Aug 09 17:09:09.957574 2018] [php7:notice] [pid 22692:tid 1844] [client 127.0.0.1:14338] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 10, referer: http://hello/todo/add
[Thu Aug 09 17:11:00.258732 2018] [php7:notice] [pid 22692:tid 1900] [client 127.0.0.1:14497] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 11, referer: http://hello/todo/add
[Thu Aug 09 17:11:10.847243 2018] [php7:notice] [pid 22692:tid 1900] [client 127.0.0.1:14507] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 11, referer: http://hello/todo/add
[Thu Aug 09 17:12:07.459441 2018] [php7:notice] [pid 22692:tid 1844] [client 127.0.0.1:14594] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 12, referer: http://hello/todo/add
[Thu Aug 09 17:13:15.228633 2018] [php7:notice] [pid 22692:tid 1920] [client 127.0.0.1:14693] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 13, referer: http://hello/todo/add
[Thu Aug 09 17:13:30.912266 2018] [php7:notice] [pid 22692:tid 1828] [client 127.0.0.1:14722] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 13, referer: http://hello/todo/add
[Thu Aug 09 17:14:01.076997 2018] [php7:notice] [pid 22692:tid 1900] [client 127.0.0.1:14769] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 13, referer: http://hello/todo/add
[Thu Aug 09 17:14:49.980266 2018] [php7:notice] [pid 22692:tid 1844] [client 127.0.0.1:14845] PHP Notice:  Undefined property: ToDoMiddleware::$db in D:\\Apache2\\www\\hello\\src\\middleware\\ToDoMiddleware.php on line 11, referer: http://hello/todo/add
[Thu Aug 09 17:20:15.169002 2018] [php7:notice] [pid 22692:tid 1844] [client 127.0.0.1:1374] PHP Notice:  Undefined index: todo_text in D:\\Apache2\\www\\hello\\src\\controller\\ToDoController.php on line 37, referer: http://hello/todo/adding
[Thu Aug 09 17:20:17.098317 2018] [php7:notice] [pid 22692:tid 1844] [client 127.0.0.1:1374] PHP Notice:  Undefined index: todo_text in D:\\Apache2\\www\\hello\\src\\controller\\ToDoController.php on line 37, referer: http://hello/todo/adding
[Thu Aug 09 18:09:06.406409 2018] [php7:warn] [pid 22692:tid 1828] [client 127.0.0.1:5978] PHP Warning:  Use of undefined constant password - assumed 'password' (this will throw an Error in a future version of PHP) in D:\\Apache2\\www\\hello\\src\\controller\\AuthorizationController.php on line 43, referer: http://hello/auth
[Thu Aug 09 18:09:06.489357 2018] [php7:warn] [pid 22692:tid 1828] [client 127.0.0.1:5978] PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in D:\\Apache2\\www\\hello\\src\\controller\\AuthorizationController.php on line 47, referer: http://hello/auth
